TIME;PLC_HMI_CONF(Bitset16);W1_ETH_PLC_LifeB(Unsigned8);TSW_ETBA_DirTrainOpSTS(Unsigned8);TSW_ETBA_LifeWord(Unsigned32)
28,800;0;119;2;876
28,928;0;120;2;876
29,056;0;120;2;881
29,184;0;120;2;881
29,312;0;120;2;881
29,440;0;120;2;881
29,568;0;120;2;886
29,696;0;120;2;886
29,824;0;120;2;886
29,952;0;121;2;886
30,080;0;121;2;891
30,208;0;121;2;891
30,336;0;121;2;891
30,464;0;121;2;891
30,592;0;121;2;896
30,720;0;121;2;896
30,848;0;121;2;896
30,976;0;122;2;896
31,104;0;122;2;901
31,232;0;122;2;901
31,360;0;122;2;901
31,488;0;122;2;901
31,616;0;122;2;906
31,744;0;122;2;906
31,872;0;122;2;906
32,000;0;123;2;906
32,128;0;123;2;911
32,256;0;123;2;911
32,384;0;123;2;911
32,512;0;123;2;911
32,640;0;123;2;916
32,768;0;123;2;916
32,896;0;123;2;916
33,024;0;124;2;916
33,152;0;124;2;921
33,280;0;124;2;921
33,408;0;124;2;921
33,536;0;124;2;921
33,664;0;124;2;926
33,792;0;124;2;926
33,920;0;124;2;926
34,048;0;125;2;926
34,176;0;125;2;931
34,304;0;125;2;931
34,432;0;125;2;931
34,560;0;125;2;931
34,688;0;125;2;936
34,816;0;125;2;936
34,944;0;125;2;936
35,072;0;126;2;936
35,200;0;126;2;941
35,328;0;126;2;941
35,456;0;126;2;941
35,584;0;126;2;941
35,712;0;126;2;946
35,840;0;126;2;946
35,968;0;126;2;946
36,096;0;127;2;946
36,224;0;127;2;951
36,352;0;127;2;951
36,480;0;127;2;951
36,608;0;127;2;951
36,736;0;127;2;956
36,864;0;127;2;956
36,992;0;127;2;956
37,120;0;128;2;956
37,248;0;128;2;961
37,376;0;128;2;961
37,504;0;128;2;961
37,632;0;128;2;961
37,760;0;128;2;965
37,888;0;128;2;965
38,016;0;128;2;965
38,144;0;129;2;965
38,272;0;129;2;970
38,400;0;129;2;970
38,528;0;129;2;970
38,656;0;129;2;970
38,784;0;129;2;975
38,912;0;129;2;975
39,040;0;129;2;975
39,168;0;130;2;975
39,296;0;130;2;980
39,424;0;130;2;980
39,552;0;130;2;980
39,680;0;130;2;980
39,808;0;130;2;985
39,936;0;130;2;985
40,064;0;130;2;985
40,192;0;131;2;985
40,320;0;131;2;990
40,448;0;131;2;990
40,576;0;131;2;990
40,704;0;131;2;990
40,832;0;131;2;995
40,960;0;131;2;995
41,088;0;131;2;995
41,216;0;132;2;995
41,344;0;132;2;1000
41,472;0;132;2;1000
41,600;0;132;2;1000
41,728;0;132;2;1000
41,856;0;132;2;1005
41,984;0;132;2;1005
42,112;0;132;2;1005
42,240;0;133;2;1005
42,368;0;133;2;1010
42,496;0;133;2;1010
42,624;0;133;2;1010
42,752;0;133;2;1010
42,880;0;133;2;1015
43,008;0;133;2;1015
43,136;0;133;2;1015
43,264;0;134;2;1015
43,392;0;134;2;1020
43,520;0;134;2;1020
43,648;0;134;2;1020
43,776;0;134;2;1020
43,904;0;134;2;1025
44,032;0;134;2;1025
44,160;0;134;2;1025
44,288;0;135;2;1025
44,416;0;135;2;1030
44,544;0;135;2;1030
44,672;0;135;2;1030
44,800;0;135;2;1030
44,928;0;135;2;1035
45,056;0;135;2;1035
45,184;0;135;2;1035
45,312;0;136;2;1035
45,440;0;136;2;1040
45,568;0;136;2;1040
45,696;0;136;2;1040
45,824;0;136;2;1040
45,952;0;136;2;1045
46,080;0;136;2;1045
46,208;0;136;2;1045
46,336;0;137;2;1045
46,464;0;137;2;1050
46,592;0;137;2;1050
46,720;0;137;2;1050
46,848;0;137;2;1050
46,976;0;137;2;1055
47,104;0;137;2;1055
47,232;0;137;2;1055
47,360;0;138;2;1055
47,488;0;138;2;1060
47,616;0;138;2;1060
47,744;0;138;2;1060
47,872;0;138;2;1060
48,000;0;138;2;1065
48,128;0;138;2;1065
48,256;0;138;2;1065
48,384;0;139;2;1065
48,512;0;139;2;1070
48,640;0;139;2;1070
48,768;0;139;2;1070
48,896;0;139;2;1070
49,024;0;139;2;1075
49,152;0;139;2;1075
49,280;0;139;2;1075
49,408;0;140;2;1075
49,536;0;140;2;1080
49,664;0;140;2;1080
49,792;0;140;2;1080
49,920;0;140;2;1080
50,048;0;140;2;1085
50,176;0;140;2;1085
50,304;0;140;2;1085
50,432;0;141;2;1085
50,560;0;141;2;1090
50,688;0;141;2;1090
50,816;0;141;2;1090
50,944;0;141;2;1090
51,072;0;141;2;1095
51,200;0;141;2;1095
51,328;0;141;2;1095
